id,street_id,activity,task_description,status,street,start_year,stop_date_actual,route_ahead,route_back
967504,13400,Mill & Overlay 3 or More,,Completed,STRAKA ST,2012,2012-06-12,FUSION ST,CHARTIERS AVE
88985257,3005,AC Overlay 3 or more,,Completed,GEORGIA AVE,2015,2015-04-23,WILBUR ST,WILBUR WAY
634545814,12607,Mill & Overlay 3 or More,,Completed,CREEDMOOR AVE,2010,2010-06-08,FREEDOM AVE,OAKRIDGE ST
1505739123,5238,Mill & Overlay 3 or More,,Completed,BEACON ST,2014,2014-05-29,DARLINGTON RD,BARTLETT ST
464980611,10152,"Mill & Overlay - 2""",,Completed,MAIN ST,2012,2012-05-11,GOVERNMENT WAY,DAVISON ST
1539870280,17604,"Mill & Overlay - 2""",,Completed,FOUNTAIN ST,2012,2012-08-08,SHOCKOE WAY,LORAINE ST
1494054787,2489,Mill & Overlay 3 or More,,Completed,ELLSWORTH AVE,2013,2013-09-20,TAY WAY,COLLEGE AVE
725879186,5031,"Mill & Overlay - 2""",,Completed,FIFTH AVE,2014,2014-06-23,S AIKEN AVE,SCHOOL HOUSE LN
1752656631,9909,Mill & Overlay 3 or More,,Completed,NORTHUMBERLAND ST,2012,2012-04-17,SQUIRREL HILL AVE,FORBES AVE
550485755,11130,Mill & Overlay 3 or More,,Completed,NORWOOD AVE,2013,2013-05-01,HAWKINS ST,LURAY ST
1185419816,3864,Mill & Overlay 3 or More,,Completed,S MILLVALE AVE,2013,2013-11-01,LIBERTY AVE,MEND WAY
1528909867,19649,Mill & Overlay 3 or More,,Completed,KELLY ST,2012,2012-05-04,N HOMEWOOD AVE,NADIR WAY
271117320,17668,Mill & Overlay 3 or More,,Completed,N BRADDOCK AVE,2014,2014-04-15,FELICIA WAY,BENNETT ST
1244478338,6748,Mill & Overlay 3 or More,,Completed,N NEGLEY AVE,2012,2012-08-21,BAYWOOD ST,HAYS ST
1360430965,14520,"Mill & Overlay - 2""",,Completed,CURTIN AVE,2012,2012-08-09,INDUSTRY ST,E WARRINGTON AVE
203738244,10240,Mill & Overlay 3 or More,,Completed,RUTHERFORD AVE,2012,2012-07-02,GOLDSTROM AVE,SEBRING AVE
252489744,13640,Mill & Overlay 3 or More,,Completed,COLEMAN ST,2014,2014-06-27,GREENFIELD AVE,DONEGAL WAY
1024113916,18071,AC Overlay 3 or more,,Completed,SANDERSON AVE,2012,2012-10-10,MARS WAY,MERITT AVE
452168469,2324,Mill & Overlay 3 or More,,Completed,LINCOLN AVE,2012,2012-05-11,WILTSIE ST,CHURCHLAND ST
1453525649,17241,Mill & Overlay 3 or More,,Completed,PENN AVE,2013,2013-09-27,13TH ST,12TH ST
733830222,14831,Mill & Overlay 3 or More,,Completed,CONCORDIA ST,2012,2012-07-26,POPLARGROVE AVE,APPIAN WAY
157895833,4345,"Mill & Overlay - 2""",,Completed,LADOGA ST,2012,2012-08-29,FIRE WAY,MIDDLETOWN RD
170793123,4540,AC Overlay 3 or more,,Completed,RANCHERIA ST,2012,2012-10-10,TUPELO ST,STAYTON ST
1621653955,3148,Mill & Overlay 3 or More,,Completed,BEECHWOOD CT,2014,2014-09-01,BEECHWOOD CT,BEECHWOOD BLVD
